Property Type,Price,Area_sqm,Corner Unit,Renovated
HDB 4 Rooms,400000,98,0,1
HDB 4 Rooms,550000,101,1,1
HDB 4 Rooms,620000,92,0,0
HDB Executive,598000,132,1,1
HDB 5 Rooms,550000,114,1,0
HDB 4 Rooms,490000,92,1,0
HDB 4 Rooms,535000,93,1,1
HDB 5 Rooms,1038000,104,0,1
HDB 4 Rooms,460000,90,1,1
HDB 5 Rooms,738888,108,1,1
HDB 4 Rooms,579000,91,0,1
HDB 5 Rooms,390000,118,1,0
HDB 4 Rooms,490000,92,1,1
HDB 4 Rooms,350000,92,0,0
HDB 4 Rooms,548000,110,1,0
HDB 3 Rooms,430000,67,1,0
HDB 4 Rooms,450000,92,0,1
HDB 3 Rooms,328000,65,0,1
HDB 4 Rooms,438000,103,0,0
HDB 5 Rooms,880000,119,1,1
HDB Executive,660000,141,1,0
HDB 4 Rooms,560000,85,1,1
HDB 4 Rooms,400000,101,1,1
HDB 4 Rooms,488000,104,0,0
HDB 5 Rooms,790000,110,1,1
HDB 4 Rooms,458000,84,0,0
HDB 4 Rooms,468000,83,0,1
HDB 5 Rooms,850000,108,1,1
HDB 5 Rooms,690000,120,1,1
HDB 3 Rooms,293000,68,0,1
HDB 3 Rooms,348000,74,0,0
HDB 5 Rooms,880000,109,0,1
HDB 5 Rooms,455000,122,1,1
HDB 3 Rooms,255000,60,0,0
HDB Executive,555555,141,1,1
HDB 5 Rooms,459000,125,1,0
HDB 5 Rooms,530000,112,1,1
HDB 4 Rooms,580000,93,0,0
HDB 4 Rooms,480000,112,0,0
HDB 3 Rooms,350000,68,1,1
HDB 4 Rooms,440000,103,0,1
HDB 4 Rooms,400000,98,0,1
HDB 4 Rooms,488000,104,0,1
HDB 4 Rooms,350000,103,0,0
HDB 5 Rooms,750000,113,1,1
HDB 3 Rooms,280000,67,0,1
HDB 5 Rooms,545000,117,0,0
HDB 4 Rooms,360000,92,1,0
HDB 3 Rooms,258000,67,0,1
HDB 4 Rooms,350000,106,1,0
HDB 5 Rooms,520000,123,0,1
HDB 5 Rooms,820000,112,0,1
HDB 4 Rooms,688888,92,0,1
HDB 5 Rooms,520000,123,0,1
HDB 5 Rooms,440000,122,1,1
HDB 5 Rooms,450000,122,1,1
HDB 5 Rooms,818000,144,0,1
HDB 5 Rooms,390000,123,0,1
HDB 5 Rooms,508000,126,1,1
HDB 5 Rooms,790000,110,1,0
HDB 4 Rooms,780000,82,1,1
HDB 5 Rooms,699000,109,1,1
HDB 5 Rooms,448000,111,1,0
HDB 4 Rooms,430000,92,1,1
HDB Executive,598000,132,1,1
HDB 4 Rooms,510000,93,1,0
HDB 5 Rooms,980000,110,0,0
HDB 4 Rooms,790000,81,1,0
HDB 3 Rooms,265000,58,0,0
HDB 3 Rooms,280000,67,0,0
HDB Jumbo,600000,163,1,0
HDB 5 Rooms,980000,115,0,0
HDB 4 Rooms,425000,92,1,0
HDB 4 Rooms,478000,93,1,1
HDB 5 Rooms,510000,114,1,1
HDB 2 Rooms,250000,44,0,0
HDB 3 Rooms,353000,84,1,1
HDB 4 Rooms,360000,92,1,0
HDB 3 Rooms,440000,72,1,1
HDB Executive,669000,146,0,0
HDB 3 Rooms,350000,60,0,1
HDB 5 Rooms,465000,124,0,0
HDB 4 Rooms,499999,87,1,1
HDB 5 Rooms,599888,112,0,1
HDB 5 Rooms,455000,122,1,1
HDB Executive,780000,150,0,1
HDB 5 Rooms,418000,136,1,1
HDB 3 Rooms,288000,60,0,0
HDB 3 Rooms,318888,93,1,1
HDB 3 Rooms,295000,62,0,0
HDB 5 Rooms,799000,133,1,0
HDB 5 Rooms,599888,112,0,1
HDB 4 Rooms,478000,95,1,0
HDB 5 Rooms,538000,120,1,1
HDB 3 Rooms,298000,65,0,0
HDB 5 Rooms,900000,105,1,0
HDB 5 Rooms,868000,119,0,1
HDB Executive,608888,174,1,1
HDB 3 Rooms,390000,60,1,1
HDB 5 Rooms,405000,110,1,1
HDB 5 Rooms,509000,110,1,1
HDB Executive,995000,137,0,1
HDB 4 Rooms,390000,92,0,1
HDB 3 Rooms,299000,68,0,0
HDB Executive,528000,147,1,1
HDB 4 Rooms,418686,81,0,1
HDB 5 Rooms,360000,110,1,0
HDB 4 Rooms,450000,113,0,0
HDB 3 Rooms,280000,67,0,1
HDB 5 Rooms,870000,122,1,0
HDB 5 Rooms,505000,124,1,1
HDB 3 Rooms,255000,60,0,0
HDB 3 Rooms,438000,81,1,0
HDB Executive,750000,146,0,1
HDB 4 Rooms,420000,92,1,0
HDB 4 Rooms,530000,93,0,0
HDB 5 Rooms,610000,112,0,0
HDB 3 Rooms,268000,68,0,0
HDB 4 Rooms,550000,93,1,1
HDB 3 Rooms,280000,64,0,0
HDB 4 Rooms,348000,90,1,0
HDB Executive,535000,147,0,0
HDB 4 Rooms,450000,91,0,1
HDB 5 Rooms,485000,133,1,0
HDB 3 Rooms,333000,73,1,1
HDB 4 Rooms,390000,104,0,0
HDB 4 Rooms,528000,93,0,1
HDB 4 Rooms,380000,100,0,1
HDB Executive,560000,132,1,1
HDB 4 Rooms,300000,84,0,0
HDB 4 Rooms,380000,104,1,0
HDB 3 Rooms,420000,67,1,1
HDB 3 Rooms,688000,125,1,1
HDB Executive,750000,146,0,0
HDB 3 Rooms,299000,74,0,0
HDB 4 Rooms,760000,90,1,1
HDB 3 Rooms,260000,64,0,1
HDB 5 Rooms,1135000,105,1,1
HDB Executive,680000,146,0,0
HDB 5 Rooms,499000,122,1,0
HDB 5 Rooms,470000,133,1,0
HDB 5 Rooms,408000,129,1,0
HDB 3 Rooms,930000,155,0,0
HDB Jumbo,665000,174,0,1
HDB 5 Rooms,560000,122,1,1
HDB Executive,680000,170,0,1
HDB 3 Rooms,300000,65,0,1
HDB 4 Rooms,580000,99,1,0
HDB 5 Rooms,750000,113,1,1
HDB 4 Rooms,710000,87,1,0
HDB 4 Rooms,450000,93,0,0
HDB 3 Rooms,320000,67,0,0
HDB 3 Rooms,315000,67,0,0
HDB 4 Rooms,588000,93,1,0
HDB Executive,780000,148,0,1
HDB 5 Rooms,528000,133,1,1
HDB 5 Rooms,700000,120,0,0
HDB 4 Rooms,500000,91,1,1
HDB 5 Rooms,578000,113,1,1
HDB 3 Rooms,360000,67,0,0
HDB 5 Rooms,450000,122,1,1
HDB 5 Rooms,638000,112,1,1
HDB 5 Rooms,500000,111,0,0
HDB 4 Rooms,750000,87,1,1
HDB 4 Rooms,336800,102,1,0
HDB 4 Rooms,520000,93,0,1
HDB 4 Rooms,550000,102,0,0
HDB 4 Rooms,550000,108,1,0
HDB 4 Rooms,600888,93,1,1
HDB 3 Rooms,268000,68,0,0
HDB Jumbo,600000,163,1,0
HDB 4 Rooms,515000,83,0,1
HDB 3 Rooms,275000,68,0,0
HDB 4 Rooms,279000,84,0,0
HDB Executive,642888,152,0,1
HDB Executive,569000,128,1,0
HDB 4 Rooms,838000,88,1,1
HDB 5 Rooms,480000,135,1,1
HDB Executive,700000,150,1,0
HDB 3 Rooms,280000,61,0,1
HDB 4 Rooms,318000,106,1,1
HDB 5 Rooms,520000,117,1,1
HDB 3 Rooms,365000,82,1,1
HDB 4 Rooms,435000,92,0,1
HDB 4 Rooms,850000,81,1,0
HDB 3 Rooms,380000,59,0,1
HDB 5 Rooms,728000,121,1,0
HDB 5 Rooms,875000,120,0,1
HDB 4 Rooms,535000,93,1,1
HDB 5 Rooms,490000,127,1,1
HDB 4 Rooms,388888,93,1,1
HDB Executive,565000,137,1,1
HDB 3 Rooms,390000,65,0,1
HDB Executive,719000,144,0,1
HDB 4 Rooms,530000,93,1,1
HDB 4 Rooms,530000,93,0,0
HDB 5 Rooms,650000,122,1,0
HDB 5 Rooms,968000,110,0,0
HDB 5 Rooms,415000,120,1,0
HDB Executive,650000,141,0,0
HDB 5 Rooms,518000,111,1,1
HDB 3 Rooms,288000,65,0,0
HDB 4 Rooms,530000,118,1,0
HDB Jumbo,780000,132,0,1
HDB 5 Rooms,540000,122,1,0
HDB 5 Rooms,459000,110,1,1
HDB Executive,640000,148,1,1
HDB 5 Rooms,550000,112,0,0
HDB 4 Rooms,680000,91,0,0
HDB 4 Rooms,485000,93,0,1
HDB 3 Rooms,295000,67,0,1
HDB Executive,760000,142,1,1
HDB 3 Rooms,348000,74,0,0
HDB 5 Rooms,459000,125,1,0
HDB 4 Rooms,360000,91,1,0
HDB Executive,660000,149,0,1
HDB 3 Rooms,388000,67,0,0
HDB 4 Rooms,525000,93,1,1
HDB 5 Rooms,488000,127,1,0
HDB 5 Rooms,568000,117,1,1
HDB 4 Rooms,420000,103,0,1
HDB Executive,828000,146,0,0
HDB 3 Rooms,345000,67,0,1
HDB 5 Rooms,819000,142,0,1
HDB 4 Rooms,388000,99,1,1
HDB 4 Rooms,655000,91,1,1
HDB 3 Rooms,350000,60,0,1
HDB 4 Rooms,459000,92,0,1
HDB 5 Rooms,458000,110,1,0
HDB 3 Rooms,580000,60,0,0
HDB 4 Rooms,499999,87,1,1
HDB Executive,750000,144,1,1
HDB 5 Rooms,530000,112,1,1
HDB Executive,810000,146,0,0
HDB 4 Rooms,420000,95,1,1
HDB 4 Rooms,548000,110,1,0
HDB 5 Rooms,839000,123,1,0
HDB Executive,590000,143,1,0
HDB 3 Rooms,388000,66,0,0
HDB 3 Rooms,293000,68,0,1
HDB 3 Rooms,335000,68,0,0
HDB 5 Rooms,680000,110,1,0
HDB 4 Rooms,435000,104,0,0
HDB 5 Rooms,738888,108,1,1
HDB 4 Rooms,560000,93,1,1
HDB 5 Rooms,900000,136,1,0
HDB 3 Rooms,288000,65,0,0
HDB 4 Rooms,428888,93,1,1
HDB 4 Rooms,355000,103,0,1
HDB 4 Rooms,370000,91,0,1
HDB 3 Rooms,248000,74,0,0
HDB Executive,548000,130,0,1
HDB 5 Rooms,790000,110,1,1
HDB 3 Rooms,340000,74,0,1
HDB 3 Rooms,438000,64,0,1
HDB 5 Rooms,749800,112,1,0
HDB 5 Rooms,880000,119,1,0
HDB Executive,640000,148,1,1
HDB 4 Rooms,485000,93,0,1
HDB 5 Rooms,480000,124,1,1
HDB 4 Rooms,450000,104,0,0
HDB 4 Rooms,420000,103,0,1
HDB Executive,680000,146,0,0
HDB 5 Rooms,450000,110,1,0
HDB 4 Rooms,525000,93,1,1
HDB 4 Rooms,400000,98,0,1
HDB 3 Rooms,280000,65,0,1
HDB 4 Rooms,488000,104,0,1
HDB 4 Rooms,445000,101,1,1
HDB 5 Rooms,758000,105,1,1
HDB 4 Rooms,570000,89,1,1
HDB 5 Rooms,550000,113,1,1
HDB 5 Rooms,730000,117,1,1
HDB 4 Rooms,378000,104,0,0
HDB 5 Rooms,499000,127,1,0
HDB 3 Rooms,440000,67,0,1
HDB 5 Rooms,488000,121,1,1
HDB 2 Rooms,360000,49,0,0
HDB 4 Rooms,489000,92,1,1
HDB 3 Rooms,319000,68,0,1
HDB 5 Rooms,610000,125,1,0
HDB 3 Rooms,440000,72,1,1
HDB 4 Rooms,560000,85,1,1
HDB 3 Rooms,248888,58,1,0
HDB 5 Rooms,455000,122,1,1
HDB 4 Rooms,525000,93,1,1
HDB 3 Rooms,350000,75,0,1
HDB 3 Rooms,338888,74,0,0
HDB 5 Rooms,548000,111,1,1
HDB 5 Rooms,600000,113,1,0
HDB 4 Rooms,800000,91,0,1
HDB 4 Rooms,480000,112,0,0
HDB 4 Rooms,330000,95,0,0
HDB Executive,450000,130,1,1
HDB 3 Rooms,415000,82,1,0
HDB 5 Rooms,520000,123,0,1
HDB 5 Rooms,428000,132,1,1
HDB Jumbo,860000,134,0,1
HDB 5 Rooms,668000,123,1,0
HDB 4 Rooms,420000,95,1,1
HDB 3 Rooms,350000,68,1,1
HDB 4 Rooms,445000,101,1,1
HDB 5 Rooms,500000,121,1,1
HDB 4 Rooms,729000,102,0,1
HDB 4 Rooms,498800,92,1,1
HDB 4 Rooms,450000,93,0,0
HDB 5 Rooms,800000,120,0,0
HDB 4 Rooms,578000,93,1,1
HDB 5 Rooms,480000,111,0,0
HDB 3 Rooms,288888,73,1,1
HDB 4 Rooms,510000,93,1,0
HDB 5 Rooms,777000,117,1,1
HDB 3 Rooms,458000,67,0,0
HDB 5 Rooms,688000,117,1,1
HDB 3 Rooms,320000,59,0,1
HDB 4 Rooms,488000,92,0,1
HDB 5 Rooms,415000,119,0,0
HDB 3 Rooms,360000,67,0,0
HDB 4 Rooms,538000,102,0,0
HDB 5 Rooms,565000,118,0,0
HDB 5 Rooms,400000,122,1,0
HDB Executive,685000,146,0,0
HDB 5 Rooms,400000,110,1,1
HDB 5 Rooms,780000,143,1,0
HDB 5 Rooms,725000,113,1,0
HDB 4 Rooms,420000,95,0,0
HDB 4 Rooms,499999,87,1,1
HDB 5 Rooms,595000,118,1,0
HDB 4 Rooms,453000,92,1,1
HDB 5 Rooms,435688,125,1,1
HDB 5 Rooms,900000,109,1,1
HDB 4 Rooms,450000,105,1,1
HDB 5 Rooms,549999,132,1,1
HDB 4 Rooms,400000,92,1,0
HDB Executive,730000,146,0,1
HDB 4 Rooms,438000,92,0,0
HDB 4 Rooms,320000,85,1,1
HDB 5 Rooms,968000,110,0,0
HDB 4 Rooms,515000,83,0,1
HDB 5 Rooms,468000,132,1,0
HDB 4 Rooms,435000,93,1,1
HDB 5 Rooms,499999,118,1,1
HDB 4 Rooms,350000,91,0,0
HDB 4 Rooms,460000,100,1,0
HDB 3 Rooms,450000,67,1,1
HDB 5 Rooms,408000,120,1,0
HDB 3 Rooms,330000,68,0,0
HDB Executive,730000,144,0,0
HDB 4 Rooms,395000,88,0,0
HDB 5 Rooms,490000,121,0,0
HDB 4 Rooms,478000,103,1,0
HDB 5 Rooms,690000,112,0,1
HDB Executive,725000,144,1,1
HDB Executive,578000,141,1,0
HDB 4 Rooms,450000,95,1,1
HDB 4 Rooms,818888,91,1,1
HDB 5 Rooms,528000,110,0,0
HDB 4 Rooms,499000,92,1,1
HDB 4 Rooms,360000,84,1,1
HDB 4 Rooms,588000,108,1,1
HDB 3 Rooms,385000,76,1,0
HDB 5 Rooms,738000,115,1,0
HDB 5 Rooms,468000,115,1,1
HDB 4 Rooms,495000,104,1,1
HDB 4 Rooms,720000,90,0,0
HDB 3 Rooms,460000,73,1,0
HDB 4 Rooms,630000,91,0,1
HDB 5 Rooms,999999,107,1,1
HDB 4 Rooms,399000,91,0,0
HDB 4 Rooms,550000,93,0,0
HDB 3 Rooms,245000,56,0,0
HDB 5 Rooms,480000,110,1,1
HDB 4 Rooms,299000,91,0,0
HDB 4 Rooms,470000,91,1,0
HDB 5 Rooms,458000,110,1,0
HDB 4 Rooms,550000,92,0,1
HDB 4 Rooms,450000,92,0,0
HDB 4 Rooms,360000,92,1,0
HDB 3 Rooms,380000,68,1,1
HDB 5 Rooms,499000,112,1,1
HDB 4 Rooms,468000,93,0,1
HDB 5 Rooms,560000,113,1,1
HDB 5 Rooms,588000,112,0,1
HDB 3 Rooms,460000,73,1,0
HDB 3 Rooms,330000,66,0,1
HDB 4 Rooms,665000,104,1,1
HDB 5 Rooms,340000,110,1,0
HDB 4 Rooms,870000,87,1,1
HDB 3 Rooms,515000,67,1,1
HDB 4 Rooms,710000,87,1,1
HDB 3 Rooms,399000,67,0,0
HDB 4 Rooms,330000,104,0,1
HDB 3 Rooms,492000,79,1,0
HDB 4 Rooms,308000,107,0,0
HDB 4 Rooms,350000,95,0,1
HDB 4 Rooms,400000,94,0,0
HDB 4 Rooms,499000,93,0,1
HDB 3 Rooms,385000,67,0,1
HDB 4 Rooms,650000,92,1,1
HDB 5 Rooms,688000,118,1,1
HDB 5 Rooms,490000,121,1,1
HDB 5 Rooms,658000,112,0,0
HDB 5 Rooms,428000,121,0,1
HDB 4 Rooms,488000,92,1,1
HDB 4 Rooms,388000,92,0,0
HDB Executive,938000,146,0,0
HDB 3 Rooms,362000,65,0,0
HDB 4 Rooms,440000,103,0,1
HDB 4 Rooms,580000,93,1,0
HDB 3 Rooms,330000,74,0,1
HDB 3 Rooms,300000,67,0,0
HDB 5 Rooms,450000,110,1,0
HDB 5 Rooms,418000,110,1,0
HDB 3 Rooms,275000,66,0,0
HDB 5 Rooms,999999,110,0,1
HDB 4 Rooms,498800,92,1,1
HDB 3 Rooms,260000,67,0,1
HDB 4 Rooms,578000,102,1,1
HDB 3 Rooms,320000,67,0,0
HDB 5 Rooms,495000,123,1,0
HDB 4 Rooms,420000,93,1,1
HDB 4 Rooms,450000,93,0,0
HDB 4 Rooms,300000,102,0,0
HDB 5 Rooms,530000,118,1,0
HDB 4 Rooms,433000,93,1,1
HDB 5 Rooms,395000,129,0,0
HDB 4 Rooms,435000,91,0,0
HDB 5 Rooms,520000,124,1,0
HDB 5 Rooms,420000,121,1,0
HDB 5 Rooms,768888,110,0,0
HDB 4 Rooms,630000,93,1,0
HDB 3 Rooms,318000,67,0,0
HDB 3 Rooms,265000,74,0,0
HDB 5 Rooms,550000,126,1,1
HDB 3 Rooms,430000,74,0,0
HDB 4 Rooms,570000,91,1,1
HDB 4 Rooms,720000,86,1,0
HDB 4 Rooms,380000,104,1,0
HDB 4 Rooms,450000,93,0,0
HDB 4 Rooms,628888,92,1,1
HDB Executive,530000,144,0,0
HDB 4 Rooms,495000,93,0,0
HDB 5 Rooms,330000,115,1,0
HDB 5 Rooms,515000,113,0,1
HDB Executive,900000,151,0,0
HDB 5 Rooms,500000,128,0,1
HDB 3 Rooms,270000,64,0,1
HDB 5 Rooms,460000,122,0,0
HDB 5 Rooms,407888,110,1,1
HDB 5 Rooms,550000,112,0,0
HDB 5 Rooms,440000,134,0,1
HDB 4 Rooms,460000,93,1,1
HDB 5 Rooms,480000,133,1,0
HDB 4 Rooms,300000,84,0,0
HDB 3 Rooms,299000,60,1,0
HDB 4 Rooms,420000,104,0,0
HDB 4 Rooms,470000,94,1,0
HDB 4 Rooms,580000,105,0,0
HDB 5 Rooms,550000,113,1,1
HDB 4 Rooms,405000,91,0,0
HDB 5 Rooms,500000,111,0,0
HDB 4 Rooms,488000,95,1,0
HDB Jumbo,888000,148,0,1
HDB 5 Rooms,750000,143,1,1
HDB 4 Rooms,568000,87,0,0
HDB 5 Rooms,580000,127,1,0
HDB 4 Rooms,468000,92,0,0
HDB 5 Rooms,450000,110,1,0
HDB 4 Rooms,580000,93,1,1
HDB 2 Rooms,199000,43,0,0
HDB Executive,660000,133,1,1
HDB 5 Rooms,565000,132,1,0
HDB Executive,530000,128,0,0
HDB 5 Rooms,790000,122,1,1
HDB Executive,700000,146,0,0
HDB 3 Rooms,230000,56,0,0
HDB Executive,920000,149,0,0
HDB 5 Rooms,698000,127,1,0
HDB 5 Rooms,888000,122,1,1
HDB 4 Rooms,425000,92,0,1
HDB 3 Rooms,338001,70,0,1
HDB 3 Rooms,278000,64,0,1
HDB 4 Rooms,400000,93,1,0
HDB Executive,680000,170,0,1
HDB 5 Rooms,528000,124,1,0
HDB 4 Rooms,370000,102,1,1
HDB 4 Rooms,680000,91,0,0
HDB 4 Rooms,410000,93,1,0
HDB 5 Rooms,598000,120,0,0
HDB 3 Rooms,248000,74,0,0
