Property Type,Price,Area_sqm,Corner Unit,Renovated
HDB 5 Rooms,1158000,114,1,1
HDB 4 Rooms,650000,88,1,1
HDB 3 Rooms,380000,65,1,1
HDB 4 Rooms,400000,92,1,1
HDB 4 Rooms,380000,91,1,0
HDB 4 Rooms,470000,103,0,0
HDB Executive,738000,143,1,1
HDB 3 Rooms,330000,60,0,1
HDB 5 Rooms,860000,123,0,1
HDB 3 Rooms,299000,67,0,0
HDB 5 Rooms,598000,123,1,1
HDB 5 Rooms,415000,130,1,0
HDB 4 Rooms,460000,92,1,0
HDB 4 Rooms,700000,83,0,0
HDB 5 Rooms,699000,113,1,1
HDB 3 Rooms,350000,82,0,0
HDB 4 Rooms,480000,95,1,1
HDB 4 Rooms,462500,92,0,0
HDB Executive,1000000,146,0,1
HDB 4 Rooms,400000,90,0,1
HDB 4 Rooms,780000,100,0,0
HDB 4 Rooms,525000,93,1,1
HDB 4 Rooms,410000,93,1,0
HDB 4 Rooms,520000,102,0,0
HDB 4 Rooms,505001,93,0,1
HDB 5 Rooms,575000,123,1,1
HDB 5 Rooms,550000,112,1,1
HDB 4 Rooms,480000,92,0,1
HDB 5 Rooms,430000,134,1,1
HDB 4 Rooms,520000,98,1,0
HDB 5 Rooms,470000,133,1,0
HDB 3 Rooms,280000,60,0,0
HDB 3 Rooms,515000,67,1,1
HDB 5 Rooms,650000,118,1,0
HDB 3 Rooms,320000,65,1,0
HDB 5 Rooms,690000,114,1,1
HDB 5 Rooms,405000,110,1,1
HDB 5 Rooms,480000,115,1,0
HDB 4 Rooms,505001,93,0,1
HDB 4 Rooms,380000,103,0,0
HDB 5 Rooms,830000,108,1,1
HDB 4 Rooms,650000,102,1,0
HDB 3 Rooms,339000,65,0,0
HDB 4 Rooms,488000,104,0,1
HDB 5 Rooms,448000,121,0,1
HDB 5 Rooms,490000,121,1,1
HDB Executive,750000,146,0,1
HDB 3 Rooms,315000,69,1,0
HDB 3 Rooms,285000,67,0,0
HDB 4 Rooms,365000,100,0,0
HDB 5 Rooms,530000,112,0,0
HDB 5 Rooms,545000,117,0,0
HDB 4 Rooms,419000,105,0,0
HDB 5 Rooms,758000,105,1,1
HDB 3 Rooms,258000,76,0,0
HDB 4 Rooms,390000,92,0,0
HDB 4 Rooms,699000,88,0,1
HDB 5 Rooms,430000,134,1,1
HDB 4 Rooms,520000,90,0,0
HDB 3 Rooms,295000,65,0,1
HDB 4 Rooms,370000,100,0,1
HDB 3 Rooms,328000,65,0,0
HDB 4 Rooms,710000,87,1,1
HDB 5 Rooms,445000,109,0,0
HDB 4 Rooms,555000,92,1,1
HDB 3 Rooms,492000,79,1,0
HDB 4 Rooms,395000,94,0,1
HDB 5 Rooms,520000,124,1,0
HDB 5 Rooms,650888,113,1,1
HDB 3 Rooms,355000,68,0,1
HDB 5 Rooms,688000,118,0,1
HDB Executive,645000,151,0,0
HDB 5 Rooms,480000,119,1,0
HDB 2 Rooms,338000,67,0,1
HDB 5 Rooms,820000,123,0,1
HDB 5 Rooms,555000,110,0,1
HDB Executive,740000,149,1,0
HDB 5 Rooms,498000,117,0,1
HDB 4 Rooms,529000,87,1,0
HDB 4 Rooms,565000,103,0,0
HDB Executive,590000,146,0,0
HDB 4 Rooms,620000,95,0,1
HDB 5 Rooms,750000,123,1,0
HDB 3 Rooms,265000,67,0,0
HDB 4 Rooms,380000,104,0,1
HDB 5 Rooms,600000,124,0,0
HDB 5 Rooms,488000,128,1,0
HDB 4 Rooms,700000,83,0,0
HDB 4 Rooms,428000,92,0,1
HDB 3 Rooms,295000,68,1,0
HDB 5 Rooms,415000,130,1,0
HDB 3 Rooms,420000,67,0,1
HDB 5 Rooms,630000,125,0,0
HDB Executive,528888,128,0,0
HDB 3 Rooms,220000,56,0,0
HDB 4 Rooms,430000,103,0,0
HDB 3 Rooms,305000,61,0,0
HDB 5 Rooms,620000,119,1,0
HDB 3 Rooms,270000,66,1,0
HDB 5 Rooms,590000,120,1,1
HDB 4 Rooms,470000,92,0,0
HDB 5 Rooms,530000,121,1,1
HDB 5 Rooms,920000,112,1,1
HDB 5 Rooms,455000,122,1,1
HDB 3 Rooms,218000,80,0,0
HDB 5 Rooms,950000,139,0,0
HDB Executive,578888,137,1,0
HDB 5 Rooms,850000,116,1,1
HDB 4 Rooms,390000,91,1,0
HDB 3 Rooms,270000,68,0,1
HDB 5 Rooms,450000,110,1,1
HDB 5 Rooms,780000,110,0,1
HDB 2 Rooms,220000,40,0,0
HDB 5 Rooms,658888,113,1,0
HDB 4 Rooms,440000,92,1,0
HDB 4 Rooms,380000,104,1,0
HDB 3 Rooms,325000,67,1,1
HDB 3 Rooms,388000,82,1,0
HDB 4 Rooms,420000,104,0,1
HDB Executive,630000,146,0,1
HDB 3 Rooms,338000,82,1,0
HDB 4 Rooms,415000,88,1,1
HDB 4 Rooms,430000,104,0,0
HDB 5 Rooms,480000,110,1,0
HDB 3 Rooms,340000,68,1,0
HDB 4 Rooms,406000,94,0,0
HDB 5 Rooms,650000,113,1,1
HDB 5 Rooms,1135000,105,1,1
HDB 4 Rooms,430000,104,0,0
HDB 3 Rooms,280000,73,0,0
HDB 4 Rooms,408000,92,1,1
HDB 4 Rooms,399000,84,1,1
HDB 4 Rooms,500000,92,1,0
HDB 5 Rooms,408000,116,1,1
HDB 5 Rooms,580000,117,0,0
HDB 5 Rooms,500000,139,1,1
HDB 5 Rooms,548000,113,1,1
HDB 5 Rooms,898000,120,1,1
HDB Executive,650000,149,0,1
HDB 3 Rooms,330000,67,0,0
HDB 2 Rooms,360000,49,0,0
HDB Executive,460000,146,0,0
HDB 4 Rooms,390000,91,1,0
HDB 3 Rooms,336000,67,0,1
HDB 5 Rooms,460000,122,1,0
HDB 5 Rooms,420000,124,1,1
HDB 3 Rooms,320000,67,1,1
HDB 4 Rooms,470000,92,0,0
HDB 5 Rooms,499000,138,0,0
HDB 4 Rooms,677000,103,0,1
HDB 5 Rooms,550000,125,1,0
HDB 4 Rooms,380000,92,0,1
HDB Executive,800000,146,0,0
HDB Executive,748000,146,0,0
HDB Executive,630000,149,0,1
HDB Jumbo,768888,177,1,1
HDB 5 Rooms,500000,123,1,0
HDB 5 Rooms,450000,110,1,1
HDB 4 Rooms,390000,104,1,1
HDB 5 Rooms,840000,110,1,1
HDB 4 Rooms,420000,100,0,0
HDB 5 Rooms,468000,110,0,1
HDB 3 Rooms,399999,72,1,1
HDB 4 Rooms,438000,103,0,0
HDB Executive,638000,145,0,1
HDB 5 Rooms,560000,121,1,1
HDB 5 Rooms,860000,109,1,1
HDB 5 Rooms,655000,118,1,1
HDB 3 Rooms,295000,64,0,0
HDB 5 Rooms,512000,110,1,1
HDB 5 Rooms,750000,110,1,1
HDB 5 Rooms,694888,115,0,0
HDB 3 Rooms,370000,68,0,0
HDB 3 Rooms,260000,74,0,0
HDB 5 Rooms,748000,119,0,1
HDB 4 Rooms,735000,87,0,1
HDB 5 Rooms,950000,105,0,1
HDB 5 Rooms,455000,122,1,1
HDB 5 Rooms,608000,115,1,1
HDB Executive,685000,146,0,0
HDB 4 Rooms,318000,105,1,0
HDB 4 Rooms,515000,87,1,1
HDB 4 Rooms,338888,99,1,0
HDB 5 Rooms,500000,124,0,1
HDB 5 Rooms,370000,110,0,1
HDB 4 Rooms,508000,92,0,1
HDB 4 Rooms,420000,104,0,1
HDB 5 Rooms,490000,122,1,0
HDB 3 Rooms,320000,67,0,0
HDB 5 Rooms,430000,110,0,1
HDB 4 Rooms,650000,92,0,1
HDB 4 Rooms,699000,88,0,1
HDB 4 Rooms,520000,102,0,0
HDB 3 Rooms,249000,60,0,0
HDB 3 Rooms,299999,68,0,0
HDB 5 Rooms,550000,112,1,1
HDB 5 Rooms,550000,121,0,1
HDB 5 Rooms,700000,120,1,0
HDB 5 Rooms,490000,110,0,0
HDB 3 Rooms,339000,65,0,0
HDB Executive,650000,149,0,1
HDB 3 Rooms,300000,67,0,0
HDB 3 Rooms,248000,74,0,0
HDB 5 Rooms,588000,121,1,0
HDB 4 Rooms,368000,95,1,0
HDB 4 Rooms,453000,92,1,1
HDB 4 Rooms,499000,93,1,1
HDB Executive,760000,142,1,1
HDB 3 Rooms,280000,68,0,0
HDB 5 Rooms,690000,113,1,0
HDB 4 Rooms,420000,95,0,0
HDB 5 Rooms,499000,110,0,1
HDB 5 Rooms,600000,117,1,1
HDB 5 Rooms,470000,122,1,0
HDB 3 Rooms,310000,68,0,0
HDB Executive,769000,150,1,1
HDB 3 Rooms,238000,59,0,0
HDB 4 Rooms,490000,92,1,0
HDB 4 Rooms,450000,92,0,0
HDB 4 Rooms,525000,93,1,1
HDB 5 Rooms,818000,120,1,0
HDB 4 Rooms,520000,102,0,0
HDB 4 Rooms,538000,92,0,1
HDB 5 Rooms,799000,120,1,1
HDB 5 Rooms,488000,128,1,0
HDB 4 Rooms,450000,92,1,0
HDB 4 Rooms,728000,90,1,1
HDB 3 Rooms,370000,65,0,0
HDB 3 Rooms,280000,68,0,1
HDB 4 Rooms,838000,82,1,1
HDB 4 Rooms,400000,82,0,1
HDB 4 Rooms,398000,99,1,1
HDB 5 Rooms,825000,108,1,1
HDB 4 Rooms,419688,104,1,1
HDB 3 Rooms,340000,67,1,1
HDB 4 Rooms,560000,93,0,0
HDB 5 Rooms,389000,110,0,1
HDB 3 Rooms,298000,68,0,0
HDB 5 Rooms,450000,127,1,0
HDB 4 Rooms,488000,104,0,1
HDB 4 Rooms,510000,91,1,1
HDB 4 Rooms,449999,97,1,1
HDB 4 Rooms,338888,99,1,0
HDB Executive,560000,125,0,1
HDB Jumbo,750000,164,1,1
HDB 3 Rooms,300000,67,0,0
HDB Executive,650000,144,1,1
HDB 4 Rooms,450000,98,0,0
HDB Executive,705000,149,0,0
HDB 4 Rooms,329000,104,1,0
HDB 3 Rooms,258000,64,0,0
HDB Executive,790000,144,1,0
HDB 5 Rooms,488000,126,0,0
HDB 5 Rooms,545000,117,0,0
HDB 4 Rooms,370000,91,1,1
HDB 5 Rooms,750000,123,1,0
HDB 5 Rooms,388000,111,0,1
HDB 3 Rooms,315000,67,0,1
HDB 5 Rooms,458000,122,1,1
HDB 4 Rooms,375000,92,1,0
HDB 5 Rooms,830000,108,0,0
HDB 5 Rooms,500000,124,0,1
HDB 5 Rooms,758000,111,1,0
HDB 4 Rooms,650000,108,1,0
HDB 5 Rooms,690000,114,1,1
HDB 4 Rooms,630000,92,1,1
HDB Executive,738000,143,1,1
HDB 4 Rooms,538000,92,0,1
HDB 3 Rooms,455000,60,0,1
HDB Executive,748000,147,0,0
HDB Jumbo,720000,177,1,1
HDB 5 Rooms,668000,121,1,1
HDB Executive,850000,145,0,1
HDB 4 Rooms,420000,90,0,0
HDB 5 Rooms,628000,112,1,1
HDB 4 Rooms,378000,104,0,0
HDB 3 Rooms,320000,82,0,0
HDB 5 Rooms,450000,110,1,0
HDB Executive,899000,146,0,1
HDB 5 Rooms,750000,121,1,0
HDB 5 Rooms,580000,121,0,1
HDB 4 Rooms,462500,92,0,0
HDB 4 Rooms,520000,92,1,1
HDB Executive,680000,146,0,0
HDB Jumbo,790000,192,1,1
HDB 5 Rooms,575000,123,1,1
HDB 5 Rooms,370000,110,0,1
HDB 4 Rooms,420000,104,0,1
HDB Executive,580000,146,0,1
HDB 4 Rooms,430000,103,1,1
HDB 3 Rooms,318000,67,0,1
HDB Jumbo,748000,132,0,0
HDB 4 Rooms,518000,104,1,0
HDB 3 Rooms,299000,68,1,0
HDB 2 Rooms,245000,40,0,1
HDB 4 Rooms,430000,92,1,1
HDB Executive,838000,141,1,1
HDB 5 Rooms,475000,125,0,0
HDB 4 Rooms,630000,93,1,1
HDB 4 Rooms,460000,104,0,0
HDB 4 Rooms,399000,95,1,1
HDB 5 Rooms,745000,121,1,1
HDB 3 Rooms,365000,82,1,1
HDB 5 Rooms,490000,110,0,1
HDB 4 Rooms,400000,102,0,1
HDB 4 Rooms,498000,103,0,1
HDB 4 Rooms,455000,104,1,1
HDB 4 Rooms,588000,107,1,0
HDB 5 Rooms,599888,112,0,0
HDB 4 Rooms,368000,102,0,0
HDB 5 Rooms,415000,120,1,0
HDB Executive,680000,150,0,1
HDB 3 Rooms,400000,70,1,1
HDB 5 Rooms,510000,115,1,1
HDB 3 Rooms,275000,74,0,0
HDB Executive,560000,146,0,0
HDB 4 Rooms,367000,101,0,0
HDB 5 Rooms,698888,117,1,1
HDB 5 Rooms,585000,118,0,1
HDB 5 Rooms,849888,110,0,0
HDB 3 Rooms,730000,62,0,0
HDB 4 Rooms,840000,80,1,1
HDB 4 Rooms,680000,90,0,0
HDB 3 Rooms,299000,60,0,0
HDB Executive,980000,149,0,0
HDB 3 Rooms,260000,56,0,1
HDB 4 Rooms,580000,105,0,0
HDB 4 Rooms,420000,104,0,0
HDB 5 Rooms,828000,121,1,1
HDB 3 Rooms,428000,74,1,1
HDB 4 Rooms,550000,104,1,1
HDB 5 Rooms,620000,113,1,1
HDB Executive,600000,128,0,1
HDB 4 Rooms,480000,100,0,0
HDB 3 Rooms,410000,88,1,1
HDB Executive,575000,142,0,1
HDB 5 Rooms,475000,125,0,0
HDB 2 Rooms,260000,47,0,0
HDB Executive,768000,142,0,0
HDB 3 Rooms,304000,68,0,0
HDB 4 Rooms,440000,83,0,0
HDB 5 Rooms,599000,121,1,1
HDB 5 Rooms,420000,121,1,1
HDB 5 Rooms,500000,112,0,0
HDB 5 Rooms,515000,135,1,0
HDB 3 Rooms,300000,65,0,0
HDB 4 Rooms,370000,104,0,1
HDB 4 Rooms,700000,95,1,1
HDB 4 Rooms,780000,82,1,1
HDB 3 Rooms,318000,65,0,1
HDB 4 Rooms,450000,91,1,1
HDB 3 Rooms,450000,73,1,1
HDB 4 Rooms,360000,102,0,1
HDB 5 Rooms,388000,120,1,0
HDB 5 Rooms,490000,122,1,1
HDB 4 Rooms,650000,102,0,0
HDB 5 Rooms,505000,121,1,0
HDB 4 Rooms,525000,107,1,1
HDB 4 Rooms,420000,96,1,1
HDB 4 Rooms,475000,104,0,0
HDB 5 Rooms,840000,110,1,1
HDB 5 Rooms,568000,113,1,1
HDB 3 Rooms,315000,68,0,1
HDB 4 Rooms,370000,91,0,1
HDB Executive,780000,144,1,1
HDB 5 Rooms,588000,121,1,0
HDB 3 Rooms,350000,65,0,1
HDB Executive,758000,146,1,0
HDB 5 Rooms,500000,128,0,1
HDB 4 Rooms,450000,105,1,1
HDB 4 Rooms,550000,93,1,1
HDB 4 Rooms,410000,92,1,1
HDB 4 Rooms,500000,92,1,1
HDB 5 Rooms,845000,105,0,0
HDB 3 Rooms,350000,67,0,0
HDB Executive,570000,125,1,0
HDB 4 Rooms,326000,93,0,0
HDB 3 Rooms,240000,59,0,0
HDB 4 Rooms,478000,98,1,0
HDB 5 Rooms,428000,110,0,0
HDB 3 Rooms,370000,65,0,0
HDB 4 Rooms,359000,92,1,1
HDB 5 Rooms,510000,110,0,0
HDB 4 Rooms,470000,102,0,0
HDB 4 Rooms,430000,92,1,1
HDB 4 Rooms,528000,92,1,1
HDB Executive,675000,148,1,0
HDB 5 Rooms,738000,115,1,0
HDB 3 Rooms,282000,65,0,0
HDB 3 Rooms,298000,65,0,0
HDB 5 Rooms,540000,113,1,1
HDB 5 Rooms,410000,114,1,1
HDB 3 Rooms,338000,65,0,0
HDB 4 Rooms,430000,93,0,1
HDB 3 Rooms,348000,68,1,1
HDB 5 Rooms,480000,122,1,0
HDB 5 Rooms,390000,121,1,0
HDB 4 Rooms,870000,87,1,1
HDB 4 Rooms,348000,84,0,1
HDB 5 Rooms,499999,120,1,1
HDB 5 Rooms,560000,132,0,1
HDB Executive,560000,125,1,1
HDB 4 Rooms,420000,104,1,0
HDB 3 Rooms,319000,68,0,1
HDB 5 Rooms,980000,110,0,0
HDB Executive,750000,144,1,1
HDB 5 Rooms,608000,118,1,0
HDB 4 Rooms,375000,92,1,1
HDB 5 Rooms,958000,115,1,0
HDB 4 Rooms,435000,101,1,0
HDB 4 Rooms,395000,103,1,1
HDB Jumbo,850000,173,0,1
HDB 4 Rooms,415000,92,1,1
HDB 4 Rooms,359000,92,1,1
HDB 3 Rooms,350000,64,0,0
HDB 4 Rooms,410000,105,0,0
HDB 4 Rooms,590000,92,0,0
HDB Executive,518888,144,0,0
HDB 3 Rooms,410000,88,1,1
HDB 5 Rooms,668000,113,1,1
HDB 5 Rooms,899000,121,1,0
HDB 4 Rooms,458000,92,0,0
HDB 4 Rooms,515000,84,0,1
HDB 4 Rooms,460000,100,0,1
HDB 5 Rooms,539000,109,1,1
HDB 4 Rooms,445000,92,1,0
HDB 3 Rooms,315000,67,0,1
HDB 4 Rooms,445000,92,1,1
HDB 5 Rooms,699000,136,0,1
HDB 4 Rooms,630000,92,1,1
HDB 4 Rooms,410000,93,1,0
HDB 3 Rooms,330000,65,0,0
HDB 3 Rooms,320000,67,0,0
HDB 5 Rooms,868000,119,0,1
HDB 4 Rooms,340000,84,0,0
HDB 5 Rooms,768000,112,1,1
HDB 4 Rooms,398000,91,0,0
HDB 4 Rooms,488000,104,0,1
HDB 4 Rooms,420000,104,1,0
HDB 5 Rooms,399000,123,0,0
HDB 4 Rooms,370000,93,1,0
HDB Executive,750000,146,0,1
HDB Executive,567000,132,1,0
HDB 4 Rooms,460000,93,1,1
HDB 5 Rooms,438000,121,1,0
HDB 4 Rooms,420000,111,0,0
HDB 4 Rooms,738000,93,1,1
HDB 5 Rooms,530000,112,0,0
HDB 4 Rooms,460000,92,1,0
HDB 4 Rooms,400000,92,1,1
HDB 4 Rooms,450000,93,0,0
HDB 4 Rooms,425000,104,0,0
HDB 4 Rooms,498000,92,1,0
HDB 4 Rooms,400000,85,0,1
HDB Executive,899000,146,0,1
HDB 3 Rooms,570000,60,0,1
HDB 5 Rooms,1000000,120,1,1
HDB 4 Rooms,650000,90,0,1
HDB 3 Rooms,288000,68,0,0
HDB 4 Rooms,700000,85,1,0
HDB 3 Rooms,580000,60,0,1
HDB 3 Rooms,260000,67,0,1
HDB Executive,555000,146,0,0
HDB 4 Rooms,690000,87,1,0
HDB 5 Rooms,650000,133,1,0
