,mall,latitude,longitude,mallCoordinates
27,Marina Square,1.29185533273026,103.85857808906,"('1.29185533273026', '103.85857808906')"
28,Millenia Walk,1.29267926922552,103.860302888543,"('1.29267926922552', '103.860302888543')"
29,Mustafa,1.31011213190394,103.855290873926,"('1.31011213190394', '103.855290873926')"
30,Ngee Ann City,1.3022727300848,103.834899517575,"('1.3022727300848', '103.834899517575')"
31,Orchard Central,1.30083890839245,103.839434733899,"('1.30083890839245', '103.839434733899')"
32,Orchard Gateway,1.30160116957544,103.838868886519,"('1.30160116957544', '103.838868886519')"
33,Orchard Plaza,1.30126533062133,103.841151770455,"('1.30126533062133', '103.841151770455')"
34,Midpoint Orchard,1.30178778502846,103.838659766022,"('1.30178778502846', '103.838659766022')"
35,Palais Renaissance,1.30665484543191,103.829588045188,"('1.30665484543191', '103.829588045188')"
36,People's Park Centre,1.28564781446701,103.843861556498,"('1.28564781446701', '103.843861556498')"
37,People's Park Complex,1.28413397178419,103.842519972666,"('1.28413397178419', '103.842519972666')"
38,Plaza Singapura,1.30083413030923,103.845072743164,"('1.30083413030923', '103.845072743164')"
39,GR.iD,1.30010826723486,103.849264127911,"('1.30010826723486', '103.849264127911')"
40,Raffles City,1.29408304748297,103.853339531257,"('1.29408304748297', '103.853339531257')"
41,Scotts Square,1.30585582603508,103.832984356543,"('1.30585582603508', '103.832984356543')"
42,350 ORCHARD ROAD SHAW HOUSE,1.30580981580562,103.831507365654,"('1.30580981580562', '103.831507365654')"
43,Sim Lim Square,1.30302298414827,103.853038663425,"('1.30302298414827', '103.853038663425')"
44,Singapore Shopping Centre,1.28649701803051,103.844628721032,"('1.28649701803051', '103.844628721032')"
45,The South Beach,1.29498804392056,103.856276242094,"('1.29498804392056', '103.856276242094')"
46,Square 2,1.27822949964567,103.850812513482,"('1.27822949964567', '103.850812513482')"
47,Sunshine Plaza,1.30046735366415,103.850556061949,"('1.30046735366415', '103.850556061949')"
48,Suntec City,1.29350132535558,103.857307495824,"('1.29350132535558', '103.857307495824')"
49,Tanglin Mall,1.30485342102105,103.823883490852,"('1.30485342102105', '103.823883490852')"
50,Tanjong Pagar Centre,1.2755961982077,103.842393171342,"('1.2755961982077', '103.842393171342')"
51,Tekka Centre,1.30671098278725,103.85013440636,"('1.30671098278725', '103.85013440636')"
52,The Adelphi,1.29118503658447,103.851184338699,"('1.29118503658447', '103.851184338699')"
53,The Paragon,1.30387230879994,103.835857545469,"('1.30387230879994', '103.835857545469')"
54,Tiong Bahru Plaza,1.28633177192832,103.827550771424,"('1.28633177192832', '103.827550771424')"
55,The Poiz,1.33202729656296,103.868659488195,"('1.33202729656296', '103.868659488195')"
56,Thomson Plaza,1.35436282723449,103.83030941613,"('1.35436282723449', '103.83030941613')"
57,United Square,1.31719450988559,103.843611443038,"('1.31719450988559', '103.843611443038')"
58,Thomson V,1.35319495337208,103.835564729862,"('1.35319495337208', '103.835564729862')"
59,Velocity@Novena Square,1.31978949204523,103.844033569199,"('1.31978949204523', '103.844033569199')"
60,Wheelock Place,1.30467628730252,103.830642027577,"('1.30467628730252', '103.830642027577')"
61,Wisma Atria,1.30370477426147,103.833205752808,"('1.30370477426147', '103.833205752808')"
62,Zhongshan Mall,1.32694504484324,103.846554377679,"('1.32694504484324', '103.846554377679')"
63,Bedok Mall,1.32475054237912,103.92918919889,"('1.32475054237912', '103.92918919889')"
64,Century Square,1.35236829566862,103.943812302253,"('1.35236829566862', '103.943812302253')"
65,Our Tampines Hub,1.35349593581988,103.940139392679,"('1.35349593581988', '103.940139392679')"
66,Changi City Point,1.33408363820793,103.962946043413,"('1.33408363820793', '103.962946043413')"
67,Downtown East,1.37912717878008,103.955444758145,"('1.37912717878008', '103.955444758145')"
68,Djitsun Mall Bedok,1.32611970329469,103.929554495615,"('1.32611970329469', '103.929554495615')"
69,Eastpoint Mall,1.34270592355576,103.953024618234,"('1.34270592355576', '103.953024618234')"
70,Jewel Changi Airport,1.36023106736765,103.989457201894,"('1.36023106736765', '103.989457201894')"
71,KINEX,1.31461849889242,103.894738004768,"('1.31461849889242', '103.894738004768')"
72,Katong Shopping Centre,1.30379813229515,103.901161718308,"('1.30379813229515', '103.901161718308')"
73,Katong Square,1.30477683917233,103.904617722414,"('1.30477683917233', '103.904617722414')"
74,Kallang Wave Mall,1.30307515150401,103.873149707591,"('1.30307515150401', '103.873149707591')"
75,Leisure Park Kallang,1.30240462507128,103.876638148971,"('1.30240462507128', '103.876638148971')"
76,i12 Katong,1.30522306203042,103.905043928938,"('1.30522306203042', '103.905043928938')"
77,Parkway Parade,1.30091736056425,103.90533928065,"('1.30091736056425', '103.90533928065')"
78,Paya Lebar Square,1.31881486980278,103.892580778242,"('1.31881486980278', '103.892580778242')"
79,Paya Lebar Quarter,1.31752384637596,103.892724428994,"('1.31752384637596', '103.892724428994')"
80,Roxy Square,1.30432599904899,103.904051120306,"('1.30432599904899', '103.904051120306')"
81,Singpost Centre,1.31899666903663,103.894894915962,"('1.31899666903663', '103.894894915962')"
82,Tampines 1,1.37169334607241,103.932924563561,"('1.37169334607241', '103.932924563561')"
83,Tampines Mall,1.35267232210231,103.944387981063,"('1.35267232210231', '103.944387981063')"
84,White Sands,1.37228761596577,103.949733905672,"('1.37228761596577', '103.949733905672')"
85,City Plaza,1.31470866320366,103.893508573389,"('1.31470866320366', '103.893508573389')"
86,Elias Mall,1.37782876616465,103.942364336974,"('1.37782876616465', '103.942364336974')"
87,Loyang Point,1.36707357525622,103.964632225014,"('1.36707357525622', '103.964632225014')"
88,888 Plaza,1.43711856085535,103.795316064775,"('1.43711856085535', '103.795316064775')"
89,Admiralty Place,1.43992345062736,103.80201525015,"('1.43992345062736', '103.80201525015')"
90,AMK Hub,1.36938922717717,103.848477965668,"('1.36938922717717', '103.848477965668')"
91,Canberra Plaza,1.44349544527985,103.830345369213,"('1.44349544527985', '103.830345369213')"
92,Causeway Point,1.43600784474269,103.78568873405,"('1.43600784474269', '103.78568873405')"
93,Woodlands Civic Centre,1.43515024446739,103.786816106255,"('1.43515024446739', '103.786816106255')"
94,Broadway Plaza,1.37193729131781,103.845949444498,"('1.37193729131781', '103.845949444498')"
95,Djitsun Mall,1.32611970329469,103.929554495615,"('1.32611970329469', '103.929554495615')"
96,Jubilee Square,1.37178558575829,103.847837565378,"('1.37178558575829', '103.847837565378')"
97,Junction 8,1.3501820033849,103.848515664081,"('1.3501820033849', '103.848515664081')"
98,Junction Nine,1.43306021695327,103.841649364872,"('1.43306021695327', '103.841649364872')"
99,Marsiling Mall,1.43354318137534,103.77988189197,"('1.43354318137534', '103.77988189197')"
100,Northpoint City,1.42790288991304,103.836177650973,"('1.42790288991304', '103.836177650973')"
101,Sembawang Shopping Centre,1.44176715230315,103.82449507066,"('1.44176715230315', '103.82449507066')"
102,Sun Plaza,1.44819535371132,103.819502127155,"('1.44819535371132', '103.819502127155')"
103,Vista Point,1.43084006826605,103.793416329134,"('1.43084006826605', '103.793416329134')"
104,Wisteria Mall,1.41795288501536,103.841268831617,"('1.41795288501536', '103.841268831617')"
105,Woodlands Mart,1.44564787003157,103.798162285805,"('1.44564787003157', '103.798162285805')"
106,Woodlands North Plaza,1.44283592110679,103.790770766025,"('1.44283592110679', '103.790770766025')"
107,Waterway Point,1.40637933605759,103.902172248289,"('1.40637933605759', '103.902172248289')"
108,Compass One,1.39205314156706,103.89507054384,"('1.39205314156706', '103.89507054384')"
109,Hougang Mall,1.37248308734511,103.893788141349,"('1.37248308734511', '103.893788141349')"
110,Heartland Mall,1.35954450890401,103.885169070198,"('1.35954450890401', '103.885169070198')"
111,NEX,1.35076935257845,103.872296143862,"('1.35076935257845', '103.872296143862')"
112,Buangkok Square,1.38433426615655,103.881623070164,"('1.38433426615655', '103.881623070164')"
113,Greenwich V,1.38739539397015,103.869135978173,"('1.38739539397015', '103.869135978173')"
114,Hougang 1,1.35664284566921,103.889828868222,"('1.35664284566921', '103.889828868222')"
115,Hougang Green Shopping Mall,1.37931783499145,103.88784708944,"('1.37931783499145', '103.88784708944')"
116,Hougang Rivercourt,1.36274851459883,103.894906998774,"('1.36274851459883', '103.894906998774')"
117,myVillage At Serangoon Garden,1.36511490572797,103.865159501442,"('1.36511490572797', '103.865159501442')"
118,Northshore Plaza,1.41676127156324,103.902074379502,"('1.41676127156324', '103.902074379502')"
119,Oasis Terraces,1.40278015725693,103.913215101343,"('1.40278015725693', '103.913215101343')"
120,Punggol Plaza,1.39425629780831,103.913043510411,"('1.39425629780831', '103.913043510411')"
121,Rivervale Mall,1.39221732695142,103.904473070943,"('1.39221732695142', '103.904473070943')"
122,Rivervale Plaza,1.38550420775531,103.901988424927,"('1.38550420775531', '103.901988424927')"
123,The Seletar Mall,1.39147015374628,103.876125507257,"('1.39147015374628', '103.876125507257')"
124,Upper Serangoon Shopping Centre,1.35348082277147,103.878828134896,"('1.35348082277147', '103.878828134896')"
125,Beauty World Centre,1.34241264188642,103.776539385406,"('1.34241264188642', '103.776539385406')"
126,Beauty World Plaza,1.34180018619223,103.776259359854,"('1.34180018619223', '103.776259359854')"
127,Bukit Panjang Plaza,1.38052239451717,103.764051414862,"('1.38052239451717', '103.764051414862')"
128,Bukit Timah Plaza,1.33875930729064,103.778600077834,"('1.33875930729064', '103.778600077834')"
129,Fajar Shopping Centre,1.38364777037534,103.770886644788,"('1.38364777037534', '103.770886644788')"
130,Greenridge Shopping Centre,1.38540569283271,103.766228468185,"('1.38540569283271', '103.766228468185')"
131,Hillion Mall,1.37848224932124,103.763672842754,"('1.37848224932124', '103.763672842754')"
132,HillV2,1.36267450828024,103.76417292006,"('1.36267450828024', '103.76417292006')"
133,Junction 10,1.38055127973087,103.760106974822,"('1.38055127973087', '103.760106974822')"
134,Keat Hong Shopping Centre,1.37736607441394,103.744393648768,"('1.37736607441394', '103.744393648768')"
135,Limbang Shopping Centre,1.39222033136152,103.743611063324,"('1.39222033136152', '103.743611063324')"
136,Lot One,1.38506992325619,103.745238868238,"('1.38506992325619', '103.745238868238')"
137,Rail Mall,1.35773050150178,103.768137724847,"('1.35773050150178', '103.768137724847')"
138,Sunshine Place,1.37789727599928,103.739015486021,"('1.37789727599928', '103.739015486021')"
139,Teck Whye Shopping Centre,1.38004752975397,103.752483841199,"('1.38004752975397', '103.752483841199')"
140,West Mall,1.35009714832628,103.74921385957,"('1.35009714832628', '103.74921385957')"
141,Yew Tee Point,1.39708432396576,103.746598000147,"('1.39708432396576', '103.746598000147')"
142,Yew Tee Square,1.39832134529461,103.747344865384,"('1.39832134529461', '103.747344865384')"
143,VivoCity,1.26429316783973,103.82230469365,"('1.26429316783973', '103.82230469365')"
144,HarbourFront Centre,1.26396991176004,103.820243325181,"('1.26396991176004', '103.820243325181')"
145,Alexandra Retail Centre,1.27362182739596,103.801278893189,"('1.27362182739596', '103.801278893189')"
146,321 Clementi,1.31200212030821,103.764986676365,"('1.31200212030821', '103.764986676365')"
147,The Clementi Mall,1.31489619639366,103.764423054189,"('1.31489619639366', '103.764423054189')"
148,IMM,1.33487526118006,103.746894773008,"('1.33487526118006', '103.746894773008')"
149,JCube,1.33332312550425,103.740187071348,"('1.33332312550425', '103.740187071348')"
150,Jem,1.33305999269581,103.743503708169,"('1.33305999269581', '103.743503708169')"
151,Westgate,1.33415767556867,103.742766484424,"('1.33415767556867', '103.742766484424')"
152,Jurong Point,1.3394520043632,103.706685012926,"('1.3394520043632', '103.706685012926')"
153,Pioneer Mall,1.34172918995172,103.697223721918,"('1.34172918995172', '103.697223721918')"
154,The Star Vista,1.30681500712523,103.788462732266,"('1.30681500712523', '103.788462732266')"
155,Alexandra Central,1.28728320930592,103.805283367958,"('1.28728320930592', '103.805283367958')"
156,Anchorpoint,1.28893477974497,103.805607779399,"('1.28893477974497', '103.805607779399')"
157,The Grandstand,1.33759373277131,103.793707423659,"('1.33759373277131', '103.793707423659')"
158,Boon Lay Shopping Centre,1.34633552457315,103.712430373455,"('1.34633552457315', '103.712430373455')"
159,Grantral Mall,1.31427043922294,103.765147487482,"('1.31427043922294', '103.765147487482')"
160,Fairprice Hub,1.32561767765205,103.678409741897,"('1.32561767765205', '103.678409741897')"
161,Gek Poh Shopping Centre,1.3487416466288,103.697739629738,"('1.3487416466288', '103.697739629738')"
162,Rochester Mall,1.30540765569962,103.788446680148,"('1.30540765569962', '103.788446680148')"
163,Taman Jurong Shopping Centre,1.33484487471259,103.720462024278,"('1.33484487471259', '103.720462024278')"
164,West Coast Plaza,1.30362457527941,103.765858386923,"('1.30362457527941', '103.765858386923')"
165,Queensway Shopping Centre,1.2876179255874,103.803391140455,"('1.2876179255874', '103.803391140455')"
