,MRT_stationList,latitude,longitude
118,Haw Par Villa,1.28260725045254,103.781795517386
119,Kent Ridge,1.29353698622126,103.784572366867
120,one-north,1.29968953488969,103.787412789536
121,Holland Village,1.3121924408633,103.796411010764
122,Farrer Road,1.31743915158967,103.807379214161
123,Marymount,1.348707263451,103.839423132332
124,Lorong Chuan,1.35163927757418,103.863945738773
125,Tai Seng,1.33514564170352,103.888336109832
126,Dakota,1.30854798388121,103.889064718377
127,Mountbatten,1.30620190525331,103.882528081052
128,Stadium,1.3028124684707,103.875337711089
129,Nicoll Highway,1.29956843029404,103.863977721184
130,Esplanade,1.2936577245386,103.855081226245
131,Bras Basah,1.29679449596126,103.850948470449
